Category,Kmer,Sample,Program,Score,Reads
Missing,KmerC,MM3,Transpi,1.3,"35,598,598"
Missing,KmerC,MM4,Transpi,3,"41,745,958"
Missing,KmerC,MM5,Transpi,2.4,"45,329,544"
Missing,KmerC,MM6,Transpi,3.1,"44,469,310"
Missing,KmerC,CE1,Transpi,12,"40,302,838"
Missing,KmerC,CE2,Transpi,12.6,"50,516,835"
Missing,KmerC,CE3,Transpi,13.6,"41,947,175"
Missing,KmerC,CE4,Transpi,13.9,"44,969,393"
Missing,KmerC,CE5,Transpi,13.8,"45,605,396"
Missing,KmerC,DM1,Transpi,1.8,"87,423,452"
Missing,KmerC,DM2,Transpi,2,"85,714,154"
Missing,KmerC,DM3,Transpi,2.5,"88,252,694"
Missing,KmerC,DM4,Transpi,1.9,"82,110,608"
Missing,KmerC,DM5,Transpi,2,"102,413,880"
Missing,KmerC,DM6,Transpi,2,"98,529,578"
Complete,KmerA,MM1,Trinity,97.9,"33,700,156"
Complete,KmerA,MM2,Trinity,98.5,"41,236,457"
Complete,KmerA,MM3,Trinity,98.6,"35,598,598"
Complete,KmerA,MM4,Trinity,93.6,"41,745,958"
Complete,KmerA,MM5,Trinity,96.4,"45,329,544"
Complete,KmerA,MM6,Trinity,94,"44,469,310"
Complete,KmerA,CE1,Trinity,86.2,"40,302,838"
Complete,KmerA,CE2,Trinity,86.4,"50,516,835"
Complete,KmerA,CE3,Trinity,84.8,"41,947,175"
Complete,KmerA,CE4,Trinity,84.7,"44,969,393"
Complete,KmerA,CE5,Trinity,85.1,"45,605,396"
Complete,KmerA,DM1,Trinity,98,"87,423,452"
Complete,KmerA,DM2,Trinity,98.5,"85,714,154"
Complete,KmerA,DM3,Trinity,98.3,"88,252,694"
Complete,KmerA,DM4,Trinity,98.1,"82,110,608"
Complete,KmerA,DM5,Trinity,98.3,"102,413,880"
Complete,KmerA,DM6,Trinity,98.2,"98,529,578"
Complete,KmerB,MM1,Trinity,98.1,"33,700,156"
Complete,KmerB,MM2,Trinity,98.6,"41,236,457"
Complete,KmerB,MM3,Trinity,98.6,"35,598,598"
Complete,KmerB,MM4,Trinity,93.4,"41,745,958"
Complete,KmerB,MM5,Trinity,96.4,"45,329,544"
Complete,KmerB,MM6,Trinity,94,"44,469,310"
Complete,KmerB,CE1,Trinity,86.2,"40,302,838"
